CO,NO2,PM25,Temperature,Humidity,AQI_Level,label,prediction
991.863,109.9088,35.73166667,20.4,12.5,Unhealthy,2.0,0.0
991.863,123.7101333,14.12166667,31.69333333,70.46166667,Average,0.0,0.0
991.9266667,82.56403704,34.22407407,20.4,12.5,Average,0.0,0.0
992.054,36.1344,59.99166667,20.4,12.5,Unhealthy,2.0,2.0
992.054,82.55706667,24.96333333,30.53166667,57.71333333,Average,0.0,0.0
992.054,138.5779333,15.96666667,29.33,64.82,Average,0.0,0.0
992.436,82.30613333,21.55166667,20.4,12.5,Average,0.0,0.0
992.627,67.1874,44.42666667,26.33333333,83.39166667,Moderate,3.0,3.0
993.009,80.6437,18.39166667,20.4,12.5,Average,0.0,0.0
993.2,65.24266667,15.98888889,20.4,12.5,Average,0.0,0.0
993.391,66.96783333,16.62166667,29.52666667,66.58333333,Average,0.0,0.0
993.9237262100615,0.0,10.04166667,32.92333333,62.09166667,Good,1.0,1.0
993.9237262100615,0.0,10.64576271,33.79830508,58.75254237,Good,1.0,1.0
993.9237262100615,0.0,11.87777778,36.31111111,46.81111111,Good,1.0,1.0
993.9237262100615,0.0,13.08833333,37.005,47.54833333,Average,0.0,2.0
993.9237262100615,0.0,13.43333333,36.795,50.41166667,Average,0.0,0.0
993.9237262100615,0.0941,10.70333333,35.41833333,47.55666667,Good,1.0,1.0
993.9237262100615,0.0941,22.87833333,34.24166667,54.46,Average,0.0,0.0
993.9237262100615,0.219566667,10.67333333,36.40333333,47.47333333,Good,1.0,1.0
993.9237262100615,0.219566667,12.74,34.505,56.03833333,Unhealthy,2.0,2.0
993.9237262100615,0.313666667,18.66166667,36.02333333,48.02,Average,0.0,0.0
993.9237262100615,0.561298246,13.38070175,31.06315789,68.13333333,Average,0.0,0.0
993.9237262100615,0.6587,11.92833333,33.755,62.655,Good,1.0,2.0
993.9237262100615,0.7528,18.59833333,33.30166667,56.60333333,Average,0.0,0.0
993.9237262100615,0.815533333,13.27166667,35.95,52.93166667,Average,0.0,0.0
993.9237262100615,0.8469,8.806666667,34.73666667,54.0,Good,1.0,1.0
993.9237262100615,0.909633333,11.82833333,35.845,49.50666667,Good,1.0,1.0
993.9237262100615,1.536966667,10.45,35.70666667,51.27,Good,1.0,1.0
993.9237262100615,1.7879,9.835,32.785,61.67166667,Good,1.0,1.0
993.9237262100615,2.1643,12.17166667,33.245,62.75333333,Unhealthy,2.0,2.0
993.9237262100615,2.166075472,13.85660377,35.32075472,53.4754717,Average,0.0,0.0
993.9237262100615,2.328576271,20.25254237,34.1,55.19830508,Average,0.0,0.0
993.9237262100615,2.415233333,11.88833333,36.05333333,53.27166667,Good,1.0,1.0
993.9237262100615,2.572066667,12.16166667,35.05,53.20833333,Unhealthy,2.0,2.0
993.9237262100615,2.666166667,10.295,34.135,58.18333333,Good,1.0,1.0
993.9237262100615,2.7289,12.11666667,32.64166667,67.22333333,Unhealthy,2.0,2.0
993.9237262100615,3.073933333,12.55,34.56666667,56.45666667,Unhealthy,2.0,2.0
993.9237262100615,3.356233333,17.53666667,32.19166667,61.73,Average,0.0,0.0
993.9237262100615,3.3876,12.785,34.74333333,52.68166667,Unhealthy,2.0,2.0
993.9237262100615,3.513066667,18.90833333,33.99666667,57.29,Average,0.0,0.0
993.9237262100615,3.6699,10.65,33.79833333,58.31166667,Good,1.0,1.0
993.9237262100615,3.732633333,12.155,32.32166667,63.005,Unhealthy,2.0,2.0
993.9237262100615,3.764,10.655,35.975,51.325,Good,1.0,1.0
993.9237262100615,3.8581,14.27833333,36.16333333,50.045,Average,0.0,0.0
993.9237262100615,4.454066667,11.77166667,33.56333333,60.95333333,Good,1.0,1.0
993.9237262100615,4.579533333,10.23666667,32.41666667,64.28333333,Good,1.0,1.0
993.9237262100615,4.7991,13.98166667,34.25333333,55.58666667,Average,0.0,0.0
993.9237262100615,5.112766667,15.09833333,32.805,64.165,Average,0.0,0.0
993.9237262100615,5.158074074,8.846296296,33.01481481,62.37777778,Good,1.0,1.0
993.9237262100615,5.332333333,13.85833333,33.60666667,61.88333333,Average,0.0,0.0
993.9237262100615,5.426433333,11.09833333,33.92666667,60.93666667,Good,1.0,1.0
993.9237262100615,5.5519,12.01666667,34.20833333,57.41666667,Unhealthy,2.0,2.0
993.9237262100615,5.5519,22.15333333,33.57,57.27,Average,0.0,0.0
993.9237262100615,5.646,8.298333333,31.02833333,68.03166667,Good,1.0,1.0
993.9237262100615,5.771466667,8.891666667,33.65166667,59.04666667,Good,1.0,1.0
993.9237262100615,5.865566667,12.49,34.795,54.25666667,Unhealthy,2.0,2.0
993.9237262100615,5.959666667,14.29833333,33.56333333,60.26,Average,0.0,0.0
993.9237262100615,6.1165,8.235,34.345,54.94333333,Good,1.0,1.0
993.9237262100615,6.1165,9.275,35.58833333,51.28333333,Good,1.0,1.0
993.9237262100615,6.179233333,13.14166667,32.505,66.605,Average,0.0,0.0
993.9237262100615,6.3047,11.98,35.02,57.23,Good,1.0,2.0
993.9237262100615,6.367433333,11.98,35.44666667,54.135,Good,1.0,2.0
993.9237262100615,6.461533333,12.69,35.785,50.14666667,Unhealthy,2.0,2.0
993.9237262100615,6.6811,8.846666667,32.9,64.11,Good,1.0,1.0
993.9237262100615,6.6811,19.72,34.88833333,55.615,Average,0.0,0.0
993.9237262100615,6.7752,23.93166667,35.45,42.09,Average,0.0,0.0
993.9237262100615,6.837933333,11.87833333,33.95,62.37,Good,1.0,1.0
993.9237262100615,7.030867925,12.57735849,32.76792453,66.63207547,Unhealthy,2.0,2.0
993.9237262100615,7.2457,16.22666667,35.38333333,48.165,Average,0.0,0.0
993.9237262100615,7.277066667,14.665,32.50333333,60.81,Average,0.0,0.0
993.9237262100615,7.371166667,12.85333333,33.31333333,62.42166667,Unhealthy,2.0,2.0
993.9237262100615,7.590733333,15.32833333,34.22333333,57.295,Average,0.0,0.0
993.9237262100615,7.6221,9.371666667,35.12166667,52.78833333,Good,1.0,1.0
993.9237262100615,7.747566667,12.05666667,32.815,63.27666667,Unhealthy,2.0,2.0
993.9237262100615,7.778933333,13.03,31.96666667,64.49166667,Average,0.0,2.0
993.9237262100615,7.9044,18.70833333,33.31166667,60.24333333,Average,0.0,0.0
993.9237262100615,7.935766667,12.80833333,34.86833333,54.065,Unhealthy,2.0,2.0
993.9237262100615,8.029866667,13.68333333,33.40333333,62.105,Average,0.0,0.0
993.9237262100615,8.1867,13.51833333,33.85333333,56.66666667,Average,0.0,0.0
993.9237262100615,8.2808,18.665,33.71666667,49.08333333,Average,0.0,0.0
993.9237262100615,8.696137931,9.006896552,33.95344828,55.91206897,Good,1.0,1.0
993.9237262100615,8.782666667,14.35333333,32.48166667,61.96833333,Average,0.0,0.0
993.9237262100615,8.8454,11.195,34.44166667,59.54666667,Good,1.0,1.0
993.9237262100615,8.908133333,24.93166667,33.91,63.01666667,Average,0.0,0.0
993.9237262100615,9.064966667,10.70833333,33.185,59.00333333,Good,1.0,1.0
993.9237262100615,9.253166667,12.97166667,31.62833333,71.91166667,Unhealthy,2.0,2.0
993.9237262100615,9.41,15.03207547,32.7,67.02264151,Average,0.0,0.0
993.9237262100615,9.472733333,8.423333333,33.615,55.82833333,Good,1.0,1.0
993.9237262100615,9.566833333,19.455,32.815,63.86,Average,0.0,0.0
993.9237262100615,9.660933333,17.31666667,33.97833333,59.25166667,Average,0.0,0.0
993.9237262100615,9.755033333,9.97,34.89,54.68666667,Good,1.0,1.0
993.9237262100615,10.03733333,10.65833333,34.46166667,51.97833333,Good,1.0,1.0
993.9237262100615,10.19416667,12.485,35.01333333,51.65666667,Unhealthy,2.0,2.0
993.9237262100615,10.31963333,27.865,34.045,46.995,Average,0.0,0.0
993.9237262100615,10.4451,12.82333333,35.25166667,54.38333333,Unhealthy,2.0,2.0
993.9237262100615,10.4451,19.25166667,33.035,63.51666667,Average,0.0,0.0
993.9237262100615,10.69603333,12.245,33.92166667,56.70833333,Unhealthy,2.0,2.0
993.9237262100615,10.85286667,10.055,32.305,59.06833333,Good,1.0,1.0
993.9237262100615,10.9156,13.83833333,33.99166667,51.88166667,Average,0.0,0.0
993.9237262100615,11.1622069,24.67758621,34.92413793,53.72758621,Average,0.0,0.0
993.9237262100615,11.16653333,11.92666667,32.73833333,60.565,Good,1.0,2.0
993.9237262100615,11.32336667,12.29166667,35.48166667,52.97166667,Unhealthy,2.0,2.0
993.9237262100615,11.51156667,15.20833333,31.66166667,71.28833333,Average,0.0,0.0
993.9237262100615,11.5743,24.33333333,32.92333333,49.69,Average,0.0,0.0
993.9237262100615,11.57908475,8.328813559,32.22542373,62.77966102,Good,1.0,1.0
993.9237262100615,11.88796667,19.63,34.775,48.77666667,Average,0.0,0.0
993.9237262100615,11.98206667,15.685,32.62,68.29333333,Average,0.0,0.0
993.9237262100615,12.03769811,16.90566038,34.61886792,55.1245283,Average,0.0,0.0
993.9237262100615,12.10753333,8.286666667,30.66833333,72.36833333,Good,1.0,1.0
993.9237262100615,12.10753333,14.585,34.9,53.935,Average,0.0,0.0
993.9237262100615,12.3271,17.46333333,32.79166667,45.62833333,Average,0.0,0.0
993.9237262100615,12.54666667,11.17833333,32.36166667,62.56833333,Good,1.0,1.0
993.9237262100615,12.54666667,29.23666667,34.29,53.795,Average,0.0,0.0
993.9237262100615,12.7035,11.34,34.085,59.855,Good,1.0,1.0
993.9237262100615,12.76623333,12.675,32.81833333,64.57,Unhealthy,2.0,2.0
993.9237262100615,13.04853333,13.06,33.98666667,60.44833333,Average,0.0,2.0
993.9237262100615,13.04853333,15.75833333,33.47166667,60.89333333,Average,0.0,0.0
993.9237262100615,13.3622,15.50166667,33.525,55.645,Average,0.0,0.0
993.9237262100615,13.42493333,14.31166667,32.03,68.19833333,Average,0.0,0.0
993.9237262100615,13.4563,19.89333333,36.29166667,56.605,Average,0.0,0.0
993.9237262100615,13.70723333,14.76166667,33.86833333,55.82333333,Average,0.0,0.0
993.9237262100615,13.77766038,15.0,32.96415094,60.70188679,Average,0.0,0.0
993.9237262100615,13.8327,15.25,33.225,65.205,Average,0.0,0.0
993.9237262100615,13.9268,14.23,33.80666667,57.90166667,Average,0.0,0.0
993.9237262100615,14.0209,12.93,32.33333333,66.245,Unhealthy,2.0,2.0
993.9237262100615,14.2091,24.34666667,32.51833333,66.50333333,Average,0.0,0.0
993.9237262100615,14.24046667,15.735,33.43166667,63.07166667,Average,0.0,0.0
993.9237262100615,14.46003333,13.96166667,33.83333333,60.99,Average,0.0,0.0
993.9237262100615,14.4914,15.87,33.54,56.62333333,Average,0.0,0.0
993.9237262100615,14.64823333,10.64833333,32.84333333,65.895,Good,1.0,1.0
993.9237262100615,14.6796,12.475,34.85,56.9,Unhealthy,2.0,2.0
993.9237262100615,14.6796,15.71,34.99333333,58.47666667,Average,0.0,0.0
993.9237262100615,14.74233333,10.27333333,33.07833333,58.55666667,Good,1.0,1.0
993.9237262100615,14.74233333,12.16666667,35.19333333,53.41833333,Unhealthy,2.0,2.0
993.9237262100615,14.74233333,14.26166667,33.76333333,59.52166667,Average,0.0,0.0
993.9237262100615,14.93053333,24.525,32.02833333,70.65666667,Average,0.0,0.0
993.9237262100615,15.056,8.528333333,32.38,63.74666667,Good,1.0,1.0
993.9237262100615,15.2442,8.92,32.20833333,69.24166667,Good,1.0,1.0
993.9237262100615,15.3383,16.14833333,33.19333333,63.14166667,Average,0.0,0.0
993.9237262100615,15.40103333,7.751666667,32.73666667,62.51833333,Good,1.0,1.0
993.9237262100615,15.4324,11.565,36.45,54.5,Good,1.0,1.0
993.9237262100615,15.46376667,9.04,33.95333333,55.08166667,Good,1.0,1.0
993.9237262100615,15.58923333,9.565,32.78,59.405,Good,1.0,1.0
993.9237262100615,15.7147,11.39,31.09833333,72.51166667,Good,1.0,1.0
993.9237262100615,15.84016667,25.39666667,32.93666667,52.75,Average,0.0,0.0
993.9237262100615,15.87153333,12.13,31.29833333,64.0,Unhealthy,2.0,2.0
993.9237262100615,15.997,15.965,32.06333333,63.26,Average,0.0,0.0
993.9237262100615,16.12246667,12.98333333,32.62,63.82666667,Unhealthy,2.0,2.0
993.9237262100615,16.31066667,13.69666667,31.26166667,70.68333333,Average,0.0,0.0
993.9237262100615,16.4675,16.31833333,34.53166667,63.72,Average,0.0,0.0
993.9237262100615,16.73343478,16.71521739,31.29782609,70.07826087,Average,0.0,0.0
993.9237262100615,16.78116667,9.845,33.715,62.21833333,Good,1.0,1.0
993.9237262100615,16.78116667,11.69166667,33.33833333,64.2,Good,1.0,1.0
993.9237262100615,16.8439,18.67,31.36666667,65.29833333,Average,0.0,0.0
993.9237262100615,16.96989831,10.60508475,31.62372881,66.45423729,Good,1.0,1.0
993.9237262100615,17.14145946,40.96756757,32.34864865,65.72432432,Moderate,3.0,3.0
993.9237262100615,17.28303333,15.365,33.43666667,63.83166667,Average,0.0,0.0
993.9237262100615,17.4085,11.12,33.39666667,59.61166667,Good,1.0,1.0
993.9237262100615,17.47123333,14.46166667,31.75833333,68.26,Average,0.0,0.0
993.9237262100615,17.5026,20.87166667,34.56333333,51.69,Average,0.0,0.0
993.9237262100615,17.5026,27.84,29.90666667,74.89833333,Average,0.0,0.0
993.9237262100615,17.56533333,19.56333333,32.755,49.90333333,Average,0.0,0.0
993.9237262100615,17.62806667,8.711666667,31.99,65.64333333,Good,1.0,1.0
993.9237262100615,17.71675862,11.00689655,33.10344828,61.27241379,Good,1.0,1.0
993.9237262100615,17.71920755,11.47735849,32.46037736,63.93962264,Good,1.0,1.0
993.9237262100615,17.81626667,18.35333333,33.76166667,49.51666667,Average,0.0,0.0
993.9237262100615,17.879,15.59,36.04833333,41.12666667,Average,0.0,0.0
993.9237262100615,18.0672,10.24833333,34.07333333,57.69666667,Good,1.0,1.0
993.9237262100615,18.09856667,37.08166667,33.31166667,50.645,Moderate,3.0,3.0
993.9237262100615,18.12993333,22.245,32.43166667,62.72833333,Average,0.0,0.0
993.9237262100615,18.1613,13.995,33.6,58.75166667,Average,0.0,0.0
993.9237262100615,18.18083019,15.69056604,33.94339623,61.86226415,Average,0.0,0.0
993.9237262100615,18.19266667,25.19666667,32.28833333,59.27333333,Average,0.0,0.0
993.9237262100615,18.22403333,14.64,31.835,70.81333333,Average,0.0,0.0
993.9237262100615,18.28676667,41.25166667,32.505,58.46166667,Moderate,3.0,3.0
993.9237262100615,18.56906667,10.535,32.95666667,62.20666667,Good,1.0,1.0
993.9237262100615,18.75726667,16.35666667,34.32333333,57.975,Average,0.0,0.0
993.9237262100615,18.78863333,14.58666667,32.73666667,63.60833333,Average,0.0,0.0
993.9237262100615,18.78863333,33.535,34.28166667,59.74166667,Average,0.0,0.0
993.9237262100615,18.9141,21.635,31.83,48.455,Average,0.0,0.0
993.9237262100615,19.07093333,22.96666667,31.83666667,53.30666667,Average,0.0,0.0
993.9237262100615,19.1023,7.225,33.90333333,56.73166667,Good,1.0,1.0
993.9237262100615,19.25913333,17.53166667,32.3,70.93666667,Average,0.0,0.0
993.9237262100615,19.3846,8.81,34.42333333,61.85333333,Good,1.0,1.0
993.9237262100615,19.3846,13.535,33.93166667,59.73333333,Average,0.0,0.0
993.9237262100615,19.41596667,35.91833333,33.505,63.67333333,Unhealthy,2.0,0.0
993.9237262100615,19.44733333,9.945,31.40333333,67.35833333,Good,1.0,1.0
993.9237262100615,19.51006667,20.82666667,33.68666667,48.41166667,Average,0.0,0.0
993.9237262100615,19.91783333,17.46166667,32.615,70.5,Average,0.0,0.0
993.9237262100615,19.9492,11.12333333,33.16333333,62.35833333,Good,1.0,1.0
993.9237262100615,19.9492,12.47,36.535,51.86833333,Unhealthy,2.0,2.0
993.9237262100615,20.01193333,12.01333333,35.56333333,56.36666667,Unhealthy,2.0,2.0
993.9237262100615,20.07466667,11.50166667,32.85333333,63.35166667,Good,1.0,1.0
993.9237262100615,20.12292308,12.10769231,29.42820513,74.26666667,Unhealthy,2.0,2.0
993.9237262100615,20.4197,23.48666667,33.615,56.015,Average,0.0,0.0
993.9237262100615,20.63926667,27.48,34.985,47.205,Average,0.0,0.0
993.9237262100615,20.73336667,19.98333333,31.625,71.34,Average,0.0,0.0
993.9237262100615,20.9843,9.153333333,31.94666667,65.19,Good,1.0,1.0
993.9237262100615,21.01566667,11.80833333,32.59,64.595,Good,1.0,1.0
993.9237262100615,21.14113333,11.22166667,31.22166667,69.24166667,Good,1.0,1.0
993.9237262100615,21.23523333,26.27333333,37.74,51.51666667,Average,0.0,0.0
993.9237262100615,21.29796667,34.21166667,32.69333333,58.59166667,Average,0.0,0.0
993.9237262100615,21.39206667,8.026666667,31.60166667,67.545,Good,1.0,1.0
993.9237262100615,21.58026667,11.75166667,30.55,72.47666667,Good,1.0,1.0
993.9237262100615,21.61163333,10.17666667,31.72833333,66.63833333,Good,1.0,1.0
993.9237262100615,21.7371,10.35166667,33.23166667,55.04333333,Good,1.0,1.0
993.9237262100615,21.98803333,19.89,31.56166667,69.69833333,Average,0.0,0.0
993.9237262100615,22.0194,10.51,32.46333333,67.47333333,Good,1.0,1.0
993.9237262100615,22.0194,15.31,34.01666667,57.345,Average,0.0,0.0
993.9237262100615,22.2076,10.31333333,30.85833333,69.59833333,Good,1.0,1.0
993.9237262100615,22.2076,17.865,35.21666667,53.59,Average,0.0,0.0
993.9237262100615,22.36443333,16.20833333,34.09,47.82833333,Average,0.0,0.0
993.9237262100615,22.52126667,16.86666667,31.12833333,73.26666667,Average,0.0,0.0
993.9237262100615,22.584,18.10166667,33.08833333,54.68166667,Average,0.0,0.0
993.9237262100615,22.64673333,19.905,32.68333333,64.18166667,Average,0.0,0.0
993.9237262100615,22.74083333,19.73666667,34.26166667,52.555,Average,0.0,0.0
993.9237262100615,23.02313333,36.93833333,33.905,53.01333333,Moderate,3.0,0.0
993.9237262100615,23.30543333,15.16,32.035,68.265,Average,0.0,0.0
993.9237262100615,23.30543333,24.485,32.84666667,65.20333333,Average,0.0,0.0
993.9237262100615,23.36816667,9.861666667,29.425,75.80166667,Good,1.0,1.0
993.9237262100615,23.4309,28.42666667,34.83333333,59.025,Average,0.0,0.0
993.9237262100615,23.49363333,9.766666667,32.81333333,63.83166667,Good,1.0,1.0
993.9237262100615,23.49363333,10.64333333,36.19333333,56.10666667,Good,1.0,1.0
993.9237262100615,23.96413333,15.58166667,31.70833333,67.64333333,Average,0.0,0.0
993.9237262100615,23.9955,15.18333333,31.85833333,71.15333333,Average,0.0,0.0
993.9237262100615,24.02686667,15.26833333,34.25333333,59.94,Average,0.0,0.0
993.9237262100615,24.18192453,13.78490566,34.13207547,60.79245283,Average,0.0,0.0
993.9237262100615,24.21506667,13.75,33.465,57.48666667,Average,0.0,0.0
993.9237262100615,24.24643333,11.37333333,31.38666667,68.91833333,Good,1.0,1.0
993.9237262100615,24.36865517,9.827586207,32.03793103,65.97758621,Good,1.0,1.0
993.9237262100615,24.3719,13.41666667,35.30666667,55.32,Average,0.0,0.0
993.9237262100615,24.40326667,16.12,33.99333333,51.00333333,Average,0.0,0.0
993.9237262100615,24.43463333,12.815,34.97666667,60.20833333,Unhealthy,2.0,2.0
993.9237262100615,24.43463333,17.51833333,35.65666667,60.29666667,Average,0.0,0.0
993.9237262100615,24.59146667,16.615,33.88,56.02,Average,0.0,0.0
