Date,Predicted_PM2.5
2022-06-21,24.545543735966888
2022-06-22,15.027432928576376
2022-06-23,18.2994694351624
2022-06-24,21.523618849606866
2022-06-25,20.142567960667247
2022-06-26,22.257145356102335
2022-06-27,21.557720272539246
2022-06-28,24.931726983346756
2022-06-29,24.237477880119428
2022-06-30,19.397717593077942
2022-07-01,15.058073598692625
2022-07-02,18.62745847213483
2022-07-03,23.19518381971462
2022-07-04,22.33746541875848
2022-07-05,21.222599351488867
2022-07-06,22.02923818971701
2022-07-07,23.57728109420006
2022-07-08,19.242399123538654
2022-07-09,9.8175813487046
2022-07-10,10.18699369483286
2022-07-11,13.825689072313404
2022-07-12,12.648187593539834
2022-07-13,18.2891595142639
2022-07-14,19.73925916281619
2022-07-15,21.576841194471285
2022-07-16,25.19132984024703
2022-07-17,22.00637543290339
2022-07-18,15.104733508888096
2022-07-19,13.455482112781912
2022-07-20,16.395672353407928
2022-07-21,19.73786918471026
2022-07-22,10.93972053798682
2022-07-23,12.501290089762293
2022-07-24,16.255749649457748
2022-07-25,14.580680581468554
2022-07-26,15.97949343985038
2022-07-27,16.507145265523373
2022-07-28,24.418618763493576
2022-07-29,26.50175499469933
2022-07-30,15.728189006488375
2022-07-31,10.508532783502666
2022-08-01,13.377091141709148
2022-08-02,17.461404460983665
2022-08-03,16.312152338252126
2022-08-04,16.810238266249137
2022-08-05,21.234460961277456
2022-08-06,25.766637599717967
2022-08-07,19.288334990339468
2022-08-08,7.472553432805426
2022-08-09,6.830113404492563
2022-08-10,11.140469748172746
2022-08-11,10.723492818152028
2022-08-12,18.215870131283815
2022-08-13,20.468948026377383
2022-08-14,21.486063697845125
2022-08-15,26.280834094586858
2022-08-16,21.828824817382543
2022-08-17,11.73682929481674
2022-08-18,8.91161981653482
2022-08-19,14.342565775954839
2022-08-20,18.459210658294957
2022-08-21,8.488893692686872
2022-08-22,10.109263947019741
2022-08-23,14.382729203139053
2022-08-24,12.788705318016287
2022-08-25,14.385314754952297
2022-08-26,14.80948849890088
2022-08-27,20.47937460953606
2022-08-28,22.170894500809297
2022-08-29,12.589739559981076
2022-08-30,7.614083919259757
2022-08-31,11.40232924839158
2022-09-01,15.809823612052146
2022-09-02,14.51160988590261
2022-09-03,13.937864839008212
2022-09-04,17.8414622374123
2022-09-05,21.7468598171391
2022-09-06,15.553092821293081
2022-09-07,2.6071585039988
2022-09-08,1.7589494313910006
2022-09-09,5.894314078143827
2022-09-10,5.972122434991705
2022-09-11,13.781536111882561
2022-09-12,17.416134390587217
2022-09-13,18.607724059117057
2022-09-14,23.055049557245194
2022-09-15,19.054680736928994
2022-09-16,8.633888148252293
2022-09-17,5.384780212960183
2022-09-18,11.66782771474563
